StudentNumber,Gender,Year,Semester,CourseCode,LetterGrade,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,logtotaltimestudentspentincourse,ReflectlogGrades,LogGradeonDiscussLeader,sqrtgradeonasgnmt1,Loggradeonasgnmt2,LogTotalHitsonContentAreaApp,LogTotalHitsinsideContentAreas,loghitsonassignment,logthitsoncourseresources,loghitsonquiz,loghitsonsyllabus,loghitsondocuments,sqrthitsonweblinksandothers,LogHitsonWebsitesandOthers,SqrtHitsonStaffInformation,SqrtHitsonToolsAreaApp,SqrtTotalHitsonMyGradesApp,LogTotalHitsonAnnouncementApp,LogTotalHitsonDBApp,InvDB?GeneralQuestionsMFhits,SqrtDBIntroMFhits,LogDBWaterCoolerMFhits,LogDBWeek1MFhits,LogDBWeek2MFhits,LogDBWeek3MFhits,LogDBWeek4MFhits,LogDBWeek5MFhits,LogDBWeek6MFhits,LogDBWeek7MFhits,LogDBWeek8MFhits,LogDBWeek9MFhits,LogDBWeek10MFhits,LogTotalDBMFhits,InvDBGeneralQuestionsNumberofposts,InvDBWaterCoolerNumberofposts,LogDBIntroductionNumberofposts,LogDBWk1NumberofPosts,LogDBWk2NumberofPosts,LogDBWk3NumberofPosts,LogDBWeek4Numberofposts,LogDBWeek5Numberofposts,LogDBWeek6Numberofposts,LogDBWeek7Numberofposts,LogDBWeek8Numberofposts,LogDBWeek9Numberofposts,LogDBWeek10Numberofposts,LogTotalNumberofDBposts,StudentDuplicateCases
82,1,2014,Summer,7,,97,39.5,#NULL!,#NULL!,19,38,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,368,23,22,0,#NULL!,18,#NULL!,#NULL!,2,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0,1,6,77,262,0,0,1,0,6,6,7,0,7,6,6,7,6,#NULL!,52,#NULL!,0,2,0,6,6,7,0,7,6,6,7,6,#NULL!,53,#NULL!,0.65,#NULL!,#NULL!,1.28,2.57,1.36,1.26,#NULL!,#NULL!,0.3,#NULL!,#NULL!,#NULL!,0,1,2.45,1.89,2.42,#NULL!,1,#NULL!,0.78,0.78,0.85,#NULL!,0.85,0.78,0.78,0.85,0.78,#NULL!,1.72,#NULL!,#NULL!,0.3,0.78,0.78,0.85,#NULL!,0.85,0.78,-0.11,0.85,0.78,#NULL!,1.72,1
83,2,2014,Summer,7,,80,30.75,#NULL!,#NULL!,16,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,12,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1193,48,47,0,#NULL!,29,#NULL!,#NULL!,7,#NULL!,12,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,2,37,31,219,852,0,3,2,0,8,11,5,0,4,6,5,5,7,#NULL!,56,#NULL!,3,2,0,8,11,5,0,5,6,5,5,7,#NULL!,57,#NULL!,1.32,#NULL!,#NULL!,1.2,3.08,1.68,1.46,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,1.41,6.08,5.57,2.34,2.93,0.33,1.41,#NULL!,0.9,1.04,0.7,#NULL!,0.6,0.78,0.7,0.7,0.85,#NULL!,1.75,0.33,#NULL!,0.3,0.9,1.04,0.7,#NULL!,0.6,0.78,-0.16,0.7,0.85,#NULL!,1.76,1
84,1,2014,Summer,7,,90,38.25,#NULL!,#NULL!,17,35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,361,31,31,0,#NULL!,13,#NULL!,#NULL!,10,#NULL!,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0,10,5,62,249,0,0,1,1,6,7,8,8,5,0,6,6,6,#NULL!,54,#NULL!,0,2,1,6,7,8,8,5,0,6,6,6,#NULL!,55,#NULL!,1.03,#NULL!,#NULL!,1.23,2.56,1.49,1.11,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,0,3.16,2.24,1.79,2.4,#NULL!,1,0,0.78,0.85,0.9,0.9,0.7,#NULL!,0.78,0.78,0.78,#NULL!,1.73,#NULL!,1,0.3,0.78,0.85,0.9,0.9,0.7,#NULL!,-0.11,0.78,0.78,#NULL!,1.74,1
85,1,2014,Summer,7,,85,34.75,#NULL!,#NULL!,16,34,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,333,36,36,0,#NULL!,19,#NULL!,#NULL!,8,#NULL!,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,1,0,3,79,214,0,0,3,0,6,0,4,6,6,7,6,6,4,#NULL!,48,#NULL!,0,4,0,6,0,4,6,6,7,6,6,4,#NULL!,49,#NULL!,1.21,#NULL!,#NULL!,1.2,2.52,1.56,1.28,#NULL!,#NULL!,0.9,#NULL!,#NULL!,#NULL!,1,0,1.73,1.9,2.33,#NULL!,1.73,#NULL!,0.78,#NULL!,0.6,0.78,0.78,0.85,0.78,0.78,0.6,#NULL!,1.68,#NULL!,#NULL!,0.6,0.78,#NULL!,0.6,0.78,0.78,0.85,-0.11,0.78,0.6,#NULL!,1.69,1
86,2,2014,Summer,7,,76,33.5,#NULL!,#NULL!,14,28,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,24,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,614,63,61,0,#NULL!,25,#NULL!,#NULL!,24,#NULL!,14,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,3,15,13,109,413,0,0,2,0,7,6,4,7,0,6,6,5,7,#NULL!,50,#NULL!,0,3,0,7,6,4,7,0,6,6,5,7,#NULL!,51,#NULL!,1.41,#NULL!,#NULL!,1.15,2.79,1.8,1.4,#NULL!,#NULL!,1.38,#NULL!,#NULL!,#NULL!,1.73,3.87,3.61,2.04,2.62,#NULL!,1.41,#NULL!,0.85,0.78,0.6,0.85,#NULL!,0.78,0.78,0.7,0.85,#NULL!,1.7,#NULL!,#NULL!,0.48,0.85,0.78,0.6,0.85,#NULL!,0.78,-0.11,0.7,0.85,#NULL!,1.71,1
87,1,2014,Summer,7,,96,40,#NULL!,#NULL!,20,36,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,13,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1396,41,41,0,#NULL!,22,#NULL!,#NULL!,13,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0,1,3,241,1105,0,0,4,0,24,22,18,12,11,0,11,11,8,#NULL!,121,#NULL!,0,5,0,24,22,18,12,11,0,11,11,8,#NULL!,122,#NULL!,0.7,#NULL!,#NULL!,1.3,3.14,1.61,1.34,#NULL!,#NULL!,1.11,#NULL!,#NULL!,#NULL!,0,1,1.73,2.38,3.04,#NULL!,2,#NULL!,1.38,1.34,1.26,1.08,1.04,#NULL!,1.04,1.04,0.9,#NULL!,2.08,#NULL!,#NULL!,0.7,1.38,1.34,1.26,1.08,1.04,#NULL!,0.02,1.04,0.9,#NULL!,2.09,1
88,2,2014,Summer,7,,100,39.5,#NULL!,#NULL!,20,40,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,751,22,22,0,#NULL!,12,#NULL!,#NULL!,4,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,2,0,9,129,539,0,2,1,0,8,11,7,7,0,7,7,7,6,#NULL!,63,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,0,#NULL!,0.18,#NULL!,#NULL!,1.3,2.88,1.34,1.08,#NULL!,#NULL!,0.6,#NULL!,#NULL!,#NULL!,1.41,0,3,2.11,2.73,0.5,1,#NULL!,0.9,1.04,0.85,0.85,#NULL!,0.85,0.85,0.85,0.78,#NULL!,1.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
89,1,2014,Summer,7,,96,40,#NULL!,#NULL!,18,38,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,13,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,774,35,35,0,#NULL!,17,#NULL!,#NULL!,13,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0,30,27,136,473,0,0,3,0,8,7,6,6,6,6,6,6,0,#NULL!,54,#NULL!,0,5,0,8,7,6,6,6,6,6,6,0,#NULL!,56,#NULL!,0.7,#NULL!,#NULL!,1.26,2.89,1.54,1.23,#NULL!,#NULL!,1.11,#NULL!,#NULL!,#NULL!,0,5.48,5.2,2.13,2.67,#NULL!,1.73,#NULL!,0.9,0.85,0.78,0.78,0.78,0.78,0.78,0.78,#NULL!,#NULL!,1.73,#NULL!,#NULL!,0.7,0.9,0.85,0.78,0.78,0.78,0.78,-0.11,0.78,#NULL!,#NULL!,1.75,1
115,2,2014,Fall,6,,100,37.25,#NULL!,18,12,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,120,120,0,0,#NULL!,24,73,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,#NULL!,15,#NULL!,#NULL!,#NULL!,132,547,0,4,8,0,0,10,8,10,7,7,8,8,7,7,84,#NULL!,4,#NULL!,#NULL!,8,10,8,10,7,7,8,8,7,7,84,#NULL!,0.1,#NULL!,4.24,1.08,2.08,2.08,1.38,1.86,#NULL!,0.48,#NULL!,2.24,1.18,#NULL!,#NULL!,#NULL!,2.12,2.74,0.25,2.83,#NULL!,#NULL!,1,0.9,1,0.85,0.85,0.9,0.9,0.85,0.85,1.92,0.25,#NULL!,#NULL!,0.9,1,0.9,1,0.85,0.85,-0.04,0.9,0.85,0.85,1.92,1
122,1,2014,Fall,11,,91,32.5,#NULL!,4,18,36,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,19,0,0,#NULL!,10,3,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,1,0,8,9,8,8,7,5,6,7,0,#NULL!,59,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,1.02,#NULL!,2,1.26,#NULL!,1.28,1,0.48,#NULL!,0.78,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,0.9,0.95,0.9,0.9,0.85,0.7,0.78,0.85,#NULL!,#NULL!,1.77,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
139,2,2014,Summer,19,A,96,39.6,10,5,9,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,804,67,0,0,#NULL!,34,#NULL!,#NULL!,26,#NULL!,7,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,0,#NULL!,0,5,3,113,613,0,0,#NULL!,0,2,10,9,8,9,12,10,11,10,2,83,#NULL!,2,#NULL!,0,5,5,11,13,12,17,10,18,8,1,102,#NULL!,0.69,1,2.12,0.95,2.91,1.83,1.53,#NULL!,#NULL!,1.41,#NULL!,0,#NULL!,0,2.24,1.73,2.05,2.79,#NULL!,#NULL!,#NULL!,0.3,1,0.95,0.9,0.95,1.08,1,1.04,1,0.3,1.92,0.5,#NULL!,#NULL!,0.7,0.7,1.04,1.11,0.95,1.23,0,1.26,0.9,0,2.01,1
140,1,2014,Summer,19,B+,85,34.35,9,4,9,30,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,373,53,0,0,#NULL!,31,#NULL!,#NULL!,20,#NULL!,2,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,0,#NULL!,0,0,0,81,239,0,1,#NULL!,0,1,2,6,7,6,9,5,9,4,1,51,#NULL!,0,#NULL!,0,5,7,8,6,6,9,6,9,7,2,65,#NULL!,1.2,0.93,1.94,0.93,2.57,1.72,1.49,#NULL!,#NULL!,1.3,#NULL!,0,#NULL!,0,0,0,1.91,2.38,1,#NULL!,#NULL!,0,0.3,0.78,0.85,0.78,0.95,0.7,0.95,0.6,0,1.71,#NULL!,#NULL!,#NULL!,0.7,0.85,0.9,0.78,0.78,0.95,-0.11,0.95,0.85,0.3,1.81,1
141,1,2014,Summer,19,A,100,40,10,5,10,35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1343,69,0,0,#NULL!,41,#NULL!,#NULL!,12,#NULL!,10,#NULL!,#NULL!,#NULL!,0,#NULL!,2,#NULL!,#NULL!,6,0,#NULL!,1,10,0,175,1086,0,0,#NULL!,0,4,7,7,6,6,9,6,9,7,2,63,#NULL!,0,#NULL!,0,3,5,8,6,7,2,8,11,4,2,56,#NULL!,0.18,1,2.24,0.98,3.13,1.84,1.61,#NULL!,#NULL!,1.08,#NULL!,2.45,#NULL!,1,3.16,0,2.24,3.04,#NULL!,#NULL!,#NULL!,0.6,0.85,0.85,0.78,0.78,0.95,0.78,0.95,0.85,0.3,1.8,#NULL!,#NULL!,#NULL!,0.48,0.7,0.9,0.78,0.78,0.3,-0.04,1.04,0.6,0.3,1.75,1
142,2,2014,Summer,19,A-,92,36.8,10,5,9,31,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,965,112,0,0,#NULL!,65,#NULL!,#NULL!,37,#NULL!,7,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,3,0,#NULL!,0,2,5,118,728,0,0,#NULL!,0,2,5,8,6,7,1,8,10,4,2,53,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,0.98,1,2.18,0.95,2.98,2.05,1.81,#NULL!,#NULL!,1.57,#NULL!,1.73,#NULL!,0,1.41,2.24,2.07,2.86,#NULL!,#NULL!,#NULL!,0.3,0.7,0.9,0.78,0.85,0,0.9,1,0.6,0.3,1.72,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.85,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
143,2,2014,Summer,19,A-,91,36.75,10,4,8,33,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3349,104,0,0,#NULL!,104,#NULL!,#NULL!,36,#NULL!,24,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,5,0,#NULL!,5,8,8,1049,2110,0,0,#NULL!,4,4,5,7,6,4,11,4,7,5,3,60,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,0,0,0,#NULL!,1,1,1.94,0.88,3.52,2.02,2.02,#NULL!,#NULL!,1.56,#NULL!,2.24,#NULL!,2.24,2.83,2.83,3.02,3.32,#NULL!,#NULL!,0.6,0.6,0.7,0.85,0.78,0.6,1.04,0.6,0.85,0.7,0.48,1.78,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1
144,2,2014,Summer,19,A,95,38.5,9,4,9,35,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,275,19,0,0,#NULL!,13,#NULL!,#NULL!,3,#NULL!,3,#NULL!,#NULL!,#NULL!,0,#NULL!,0,#NULL!,#NULL!,0,1,#NULL!,3,14,12,29,197,0,2,#NULL!,0,6,7,6,5,7,10,5,9,5,2,64,#NULL!,2,#NULL!,0,6,7,7,6,7,10,5,9,5,2,66,#NULL!,0.76,0.93,2.06,0.95,2.44,1.28,1.11,#NULL!,#NULL!,0.48,#NULL!,0,#NULL!,1.73,3.74,3.46,1.46,2.29,0.5,#NULL!,#NULL!,0.78,0.85,0.78,0.7,0.85,1,0.7,0.95,0.7,0.3,1.81,0.5,#NULL!,#NULL!,0.78,0.85,0.85,0.78,0.85,1,-0.16,0.95,0.7,0.3,1.82,1
